Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
12-05-2022 @ 13:31:31,Right,(640.3474259376526:1887.3948669433594:2.6642430484002944e-08),(732.1323394775391:1708.077049255371:-0.1663665771484375),(716.9560146331787:1513.9300918579102:-0.2596091628074646),(656.5141940116882:1359.5410537719727:-0.3341394364833832),(622.9098701477051:1215.6835556030273:-0.41144365072250366),(358.40983629226685:1408.4634017944336:-0.17851276695728302),(175.17112791538239:1260.710792541504:-0.2528999447822571),(43.07264506816864:1185.0012588500977:-0.3069480061531067),(-67.9333108663559:1134.1854858398438:-0.3431185781955719),(244.9442034959793:1507.2248840332031:-0.14173150062561035),(54.015172719955444:1362.2211456298828:-0.20475977659225464),(-76.319859623909:1284.2770385742188:-0.2553565204143524),(-187.7359038591385:1231.5958786010742:-0.2928869128227234),(177.6691871881485:1620.8656311035156:-0.11831165850162506),(-4.50640082359314:1501.5575408935547:-0.18147902190685272),(-130.1058965921402:1440.607566833496:-0.22843007743358612),(-233.43314945697784:1401.4175033569336:-0.25989413261413574),(141.7105007171631:1751.7680740356445:-0.11192534863948822),(-20.37941873073578:1673.3906936645508:-0.16652226448059082),(-120.92240989208221:1631.151123046875:-0.20201657712459564),(-198.15770208835602:1598.0177307128906:-0.2279614359140396)
12-05-2022 @ 13:31:31,Right,(577.8980040550232:1754.1679000854492:1.1805180166746254e-09),(626.438798904419:1562.8699493408203:-0.11236481368541718),(581.7695260047913:1371.873550415039:-0.18194402754306793),(511.03941679000854:1229.9879837036133:-0.2463434934616089),(471.6223382949829:1097.8626251220703:-0.3147079646587372),(296.7467951774597:1252.5228881835938:-0.1143297478556633),(133.75840544700623:1096.3957214355469:-0.18310673534870148),(5.226606130599976:1021.3835906982422:-0.238836869597435),(-106.47824764251709:980.5281829833984:-0.27879518270492554),(198.07409763336182:1342.756233215332:-0.10811717808246613),(14.162192344665527:1192.6128387451172:-0.1722974181175232),(-125.66903471946716:1123.8471221923828:-0.23408076167106628),(-243.33161115646362:1089.6292877197266:-0.2795572280883789),(136.2800896167755:1455.0686645507812:-0.11355377733707428),(-37.64591932296753:1340.9085845947266:-0.18092335760593414),(-164.95962023735046:1295.7291412353516:-0.2354515939950943),(-266.80973768234253:1274.9462127685547:-0.2711319625377655),(104.1705071926117:1591.805419921875:-0.13200144469738007),(-49.600149393081665:1523.6547088623047:-0.1905759572982788),(-148.78995537757874:1490.7005310058594:-0.22863943874835968),(-230.39430856704712:1470.6762313842773:-0.2550758123397827)
12-05-2022 @ 13:31:31,Right,(487.0592451095581:1625.031852722168:4.511457873945801e-09),(529.5947456359863:1425.329475402832:-0.0702163353562355),(487.0264792442322:1240.2056121826172:-0.11492963880300522),(426.99793338775635:1104.7911071777344:-0.1606244295835495),(388.6144280433655:985.8872222900391:-0.21030974388122559),(242.42712199687958:1152.0904541015625:-0.06105905398726463),(103.9444774389267:1000.3179931640625:-0.11225417256355286),(-2.657092809677124:923.3767890930176:-0.1538458913564682),(-99.55410897731781:875.0444984436035:-0.18323056399822235),(148.22265207767487:1226.7418670654297:-0.0674581378698349),(-30.543628334999084:1091.363296508789:-0.11471857130527496),(-160.497105717659:1021.8003845214844:-0.163221076130867),(-270.66922187805176:982.3103713989258:-0.1995808482170105),(87.30740010738373:1317.8161239624023:-0.08356454968452454),(-87.29845225811005:1221.2538528442383:-0.13530094921588898),(-207.77422606945038:1179.2876815795898:-0.18079425394535065),(-309.3608808517456:1154.0938568115234:-0.21086052060127258),(54.27374303340912:1425.245475769043:-0.10930672287940979),(-98.71719539165497:1379.1590881347656:-0.15331512689590454),(-194.50810611248016:1351.0295104980469:-0.1844853311777115),(-276.0074186325073:1329.3880462646484:-0.20668773353099823)
12-05-2022 @ 13:31:31,Right,(430.5100607872009:1513.450698852539:9.365892950086163e-09),(467.2483205795288:1331.2082290649414:-0.0630684420466423),(430.07296800613403:1162.2275161743164:-0.10513002425432205),(376.80140018463135:1036.300277709961:-0.15043030679225922),(340.24370670318604:920.9426879882812:-0.1989518404006958),(212.54346191883087:1074.675407409668:-0.03911126032471657),(88.84367018938065:932.6005554199219:-0.08428075909614563),(2.6171332597732544:862.6083183288574:-0.12220049649477005),(-73.11039805412292:821.1410522460938:-0.14895887672901154),(129.99732345342636:1141.5290451049805:-0.04958270490169525),(-39.4767040014267:1022.581672668457:-0.09434821456670761),(-148.48556756973267:969.8757934570312:-0.14215673506259918),(-238.02988171577454:944.8303985595703:-0.17629249393939972),(75.08282750844955:1224.1394805908203:-0.07060739398002625),(-88.57080101966858:1142.2686767578125:-0.11912579834461212),(-197.13698744773865:1109.9005508422852:-0.16697798669338226),(-285.2765214443207:1094.1588592529297:-0.1983383148908615),(45.71765184402466:1321.8368911743164:-0.10061584413051605),(-96.03948712348938:1278.855857849121:-0.14126133918762207),(-184.91763710975647:1256.784782409668:-0.17388273775577545),(-260.08034348487854:1241.4795684814453:-0.19753122329711914)
12-05-2022 @ 13:31:31,Right,(347.7712941169739:1365.6564331054688:1.823250350696526e-08),(412.93548703193665:1242.220573425293:-0.07497412711381912),(382.39065170288086:1091.8075561523438:-0.11527638882398605),(325.0383174419403:980.6222534179688:-0.15152417123317719),(300.42497277259827:882.8691101074219:-0.1901729702949524),(187.6026839017868:1015.1638412475586:-0.054788846522569656),(98.80042970180511:898.6572074890137:-0.08650285005569458),(25.5941641330719:828.8192939758301:-0.11325893551111221),(-30.61431795358658:787.5223159790039:-0.13287080824375153),(112.34907478094101:1076.1103820800781:-0.04525600001215935),(-8.51616382598877:976.8064498901367:-0.0729047954082489),(-93.44614773988724:924.2437934875488:-0.10236310213804245),(-161.24742150306702:895.9568023681641:-0.12420297414064407),(61.50758430361748:1157.9013061523438:-0.04431028664112091),(-55.533418357372284:1079.7261428833008:-0.07403790205717087),(-138.01519989967346:1040.2966690063477:-0.10216012597084045),(-202.4925971031189:1021.6279220581055:-0.12218490242958069),(32.21143662929535:1255.5567169189453:-0.05267808213829994),(-79.66177672147751:1212.392692565918:-0.07960691303014755),(-150.3734028339386:1190.4153442382812:-0.09942517429590225),(-207.82084822654724:1179.1674041748047:-0.11433868110179901)
12-05-2022 @ 13:31:31,Right,(371.4668083190918:1415.540657043457:9.838212911006394e-09),(414.6190345287323:1255.5881881713867:-0.06057985872030258),(392.8624677658081:1102.8503036499023:-0.10018642991781235),(344.1153573989868:984.0652084350586:-0.1398623138666153),(304.4048023223877:879.821662902832:-0.18141776323318481),(192.5645399093628:1012.1670913696289:-0.05008211359381676),(79.55906957387924:875.0068473815918:-0.08953313529491425),(0.9886085987091064:808.6498260498047:-0.12074025720357895),(-66.63373231887817:771.3557052612305:-0.1430584341287613),(112.94582068920135:1071.9410705566406:-0.05461026355624199),(-37.8558075428009:958.1403350830078:-0.09440413117408752),(-134.80852246284485:910.0956916809082:-0.13387981057167053),(-214.26442623138428:888.7885665893555:-0.16237182915210724),(59.94957625865936:1148.4346389770508:-0.06703923642635345),(-86.99591517448425:1076.0842895507812:-0.11041290313005447),(-186.41591906547546:1049.2481231689453:-0.150332510471344),(-266.47271275520325:1040.6197357177734:-0.17640502750873566),(30.2815979719162:1240.5070495605469:-0.08737379312515259),(-100.62245965003967:1211.3714218139648:-0.12306225299835205),(-184.72986102104187:1201.1558532714844:-0.15083742141723633),(-256.1345672607422:1198.9593887329102:-0.1705675721168518)
12-05-2022 @ 13:31:31,Right,(346.17310523986816:1335.5514907836914:1.2862436449267989e-08),(383.8921523094177:1191.0197067260742:-0.06446342170238495),(361.91559076309204:1047.370719909668:-0.10773031413555145),(315.56901454925537:939.1208267211914:-0.15200842916965485),(283.46458196640015:841.8196678161621:-0.2002735137939453),(181.77633047103882:976.3179016113281:-0.05964415892958641),(84.697927236557:853.4061241149902:-0.11156861484050751),(17.149655520915985:785.5312728881836:-0.15337441861629486),(-43.56208920478821:740.6450271606445:-0.1835731565952301),(108.77638041973114:1028.1026458740234:-0.06971825659275055),(-24.42181885242462:921.9135475158691:-0.12188685685396194),(-111.83548271656036:865.466136932373:-0.17224112153053284),(-187.7832019329071:831.6033554077148:-0.20972532033920288),(59.523764848709106:1097.3167419433594:-0.08879551291465759),(-76.0932183265686:1028.0462265014648:-0.1422962248325348),(-164.47643637657166:994.5263671875:-0.18895438313484192),(-237.90136098861694:975.5825042724609:-0.22108909487724304),(30.482634902000427:1184.446678161621:-0.11612983793020248),(-93.96054446697235:1151.5447998046875:-0.16181105375289917),(-170.21451830863953:1135.8939743041992:-0.1948053538799286),(-235.90283632278442:1126.498146057129:-0.21944057941436768)
12-05-2022 @ 13:31:31,Left,(1069.0631532669067:1441.3831329345703:-1.064003884998499e-09),(945.4673480987549:1401.4165878295898:0.00981893576681614),(865.3964567184448:1307.7273559570312:-0.00914064422249794),(811.6567039489746:1240.6830596923828:-0.04274267330765724),(746.5696620941162:1193.2755661010742:-0.08205965161323547),(903.4035730361938:1130.471076965332:-0.009686369448900223),(837.9121398925781:1032.1539688110352:-0.06264828890562057),(773.1054425239563:981.3074111938477:-0.10675426572561264),(710.5805110931396:948.6678314208984:-0.14142245054244995),(949.5782089233398:1121.1468887329102:-0.06342189013957977),(906.9664907455444:993.4595489501953:-0.12006288766860962),(851.7902541160583:915.377197265625:-0.1759408861398697),(790.2658724784851:851.4681243896484:-0.22146157920360565),(1001.1474967002869:1144.4913482666016:-0.1202290877699852),(977.9748201370239:1018.6750030517578:-0.17834265530109406),(930.0796866416931:942.7718353271484:-0.22908750176429749),(874.8384976387024:882.9404067993164:-0.26764264702796936),(1052.989854812622:1194.166259765625:-0.1782371997833252),(1047.6842951774597:1107.9005813598633:-0.23260995745658875),(1012.7743577957153:1048.8305282592773:-0.26940518617630005),(970.6437635421753:997.9537582397461:-0.29967132210731506)
12-05-2022 @ 13:31:31,Right,(322.1527647972107:1291.1153411865234:1.0343856438055354e-08),(363.3508837223053:1157.0782470703125:-0.0648268312215805),(345.4608178138733:1016.4736175537109:-0.10083085298538208),(298.4808111190796:910.4472541809082:-0.13512912392616272),(268.6529302597046:823.2065963745117:-0.1725480556488037),(185.00761449337006:947.8544998168945:-0.053100042045116425),(98.91821622848511:832.8033256530762:-0.09467442333698273),(36.080721616744995:768.8713073730469:-0.12775036692619324),(-19.00956094264984:726.643180847168:-0.15119434893131256),(113.30601990222931:993.856086730957:-0.05443049967288971),(3.423992693424225:883.0752182006836:-0.09437768906354904),(-68.72833371162415:825.7889556884766:-0.1359480321407318),(-128.78719925880432:790.0996971130371:-0.166559636592865),(63.94744634628296:1057.078971862793:-0.06424038857221603),(-49.660338163375854:978.0373764038086:-0.1081642359495163),(-125.01014471054077:938.8324356079102:-0.15056851506233215),(-185.77788591384888:915.1673126220703:-0.17872408032417297),(31.43972486257553:1137.4127197265625:-0.08170104026794434),(-72.60843336582184:1093.9329528808594:-0.11933474242687225),(-136.51434302330017:1072.0686721801758:-0.1490146368741989),(-190.10452508926392:1056.6620635986328:-0.17043794691562653)
12-05-2022 @ 13:31:32,Left,(994.3072843551636:1389.39697265625:-1.087072032390779e-08),(864.9954128265381:1350.4221725463867:0.01798335090279579),(778.7140703201294:1262.6617813110352:0.009589225985109806),(723.9747977256775:1193.155746459961:-0.013663183897733688),(657.3838090896606:1149.375114440918:-0.0402526780962944),(806.7157530784607:1086.8131256103516:0.019657429307699203),(747.223949432373:984.510383605957:-0.017993813380599022),(686.8745040893555:941.0068130493164:-0.04960665851831436),(631.4045977592468:911.7731094360352:-0.07439667731523514),(846.5652251243591:1071.6036987304688:-0.028737034648656845),(802.75874376297:939.0743064880371:-0.06774426251649857),(751.7513680458069:857.8514099121094:-0.10934813320636749),(698.921012878418:786.3709259033203:-0.14283119142055511),(896.4451718330383:1083.2508087158203:-0.08065081387758255),(863.7924098968506:949.9576377868652:-0.11866036057472229),(818.0087113380432:871.5626907348633:-0.15000750124454498),(767.8889751434326:804.1518402099609:-0.17461374402046204),(953.9278292655945:1118.2896423339844:-0.13443009555339813),(942.4595832824707:1011.6039276123047:-0.1710548847913742),(909.4582414627075:948.3015060424805:-0.19271615147590637),(870.3552389144897:892.7628707885742:-0.2101777195930481)
