Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
14-04-2022 @ 13:32:38,Right,(42 : 618),(77 : 598),(107 : 556),(126 : 518),(140 : 487),(88 : 500),(106 : 440),(116 : 411),(124 : 387),(68 : 497),(75 : 438),(80 : 409),(87 : 381),(48 : 504),(49 : 450),(52 : 419),(57 : 391),(29 : 518),(25 : 474),(25 : 445),(27 : 418)
14-04-2022 @ 13:32:38,Right,(49 : 588),(82 : 564),(108 : 520),(123 : 481),(138 : 453),(92 : 463),(105 : 409),(113 : 377),(120 : 349),(75 : 456),(83 : 396),(90 : 360),(96 : 326),(58 : 462),(61 : 407),(64 : 374),(67 : 344),(42 : 478),(38 : 436),(39 : 409),(40 : 382)
14-04-2022 @ 13:32:38,Right,(56 : 559),(87 : 540),(111 : 497),(126 : 458),(141 : 431),(97 : 435),(110 : 385),(118 : 355),(125 : 328),(81 : 427),(88 : 370),(92 : 336),(95 : 307),(66 : 430),(69 : 376),(72 : 343),(75 : 314),(50 : 443),(47 : 402),(47 : 375),(48 : 349)
14-04-2022 @ 13:32:38,Right,(64 : 543),(93 : 526),(114 : 486),(128 : 449),(143 : 425),(102 : 425),(114 : 374),(122 : 344),(129 : 317),(87 : 415),(95 : 358),(101 : 325),(106 : 298),(72 : 416),(75 : 360),(80 : 325),(84 : 295),(56 : 427),(53 : 386),(53 : 359),(55 : 333)
14-04-2022 @ 13:32:38,Right,(70 : 537),(98 : 519),(118 : 480),(131 : 444),(145 : 423),(107 : 419),(120 : 371),(127 : 342),(134 : 318),(92 : 409),(102 : 356),(109 : 325),(116 : 300),(77 : 411),(82 : 357),(87 : 324),(93 : 295),(62 : 422),(60 : 381),(60 : 354),(62 : 328)
14-04-2022 @ 13:32:38,Right,(74 : 528),(103 : 516),(122 : 480),(134 : 446),(146 : 423),(113 : 420),(127 : 371),(135 : 343),(141 : 319),(99 : 408),(109 : 352),(115 : 320),(120 : 295),(87 : 407),(92 : 355),(97 : 324),(101 : 299),(75 : 415),(73 : 377),(74 : 352),(76 : 330)
14-04-2022 @ 13:32:38,Right,(77 : 529),(105 : 515),(124 : 478),(134 : 443),(147 : 423),(115 : 418),(127 : 371),(135 : 343),(142 : 319),(102 : 408),(110 : 352),(117 : 322),(123 : 296),(89 : 408),(93 : 355),(97 : 325),(101 : 298),(75 : 416),(74 : 377),(74 : 351),(76 : 327)
14-04-2022 @ 13:32:38,Right,(76 : 526),(106 : 513),(124 : 478),(135 : 444),(148 : 424),(115 : 420),(128 : 373),(136 : 345),(142 : 321),(102 : 409),(111 : 353),(118 : 322),(124 : 297),(88 : 407),(93 : 356),(98 : 325),(103 : 301),(76 : 415),(74 : 376),(75 : 351),(77 : 328)
14-04-2022 @ 13:32:38,Right,(78 : 525),(106 : 513),(124 : 477),(135 : 444),(147 : 423),(115 : 419),(128 : 372),(136 : 345),(142 : 323),(101 : 407),(111 : 352),(118 : 321),(124 : 296),(89 : 406),(94 : 355),(98 : 324),(103 : 299),(76 : 414),(74 : 376),(75 : 350),(77 : 327)
14-04-2022 @ 13:32:38,Right,(77 : 524),(107 : 512),(125 : 479),(135 : 446),(148 : 425),(116 : 422),(128 : 374),(136 : 346),(143 : 322),(102 : 410),(111 : 354),(118 : 322),(124 : 296),(89 : 409),(93 : 357),(98 : 326),(103 : 301),(76 : 415),(75 : 375),(76 : 350),(78 : 328)
14-04-2022 @ 13:32:38,Right,(81 : 527),(107 : 514),(125 : 478),(135 : 445),(148 : 425),(116 : 419),(129 : 373),(138 : 346),(145 : 323),(103 : 409),(112 : 356),(118 : 326),(125 : 299),(90 : 410),(94 : 359),(98 : 327),(102 : 300),(77 : 418),(75 : 379),(75 : 352),(78 : 327)
14-04-2022 @ 13:32:38,Right,(78 : 524),(106 : 512),(124 : 478),(134 : 445),(148 : 425),(114 : 420),(126 : 374),(135 : 346),(142 : 322),(100 : 410),(108 : 355),(115 : 325),(121 : 299),(88 : 409),(91 : 358),(95 : 327),(99 : 300),(76 : 416),(73 : 379),(73 : 353),(75 : 329)
