Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
13-06-2022 @ 09:39:26,Right,(61.300506591796875:293.8783836364746:8.525131156567056e-10),(82.40392684936523:257.62939453125:-0.015269524417817593),(86.9808578491211:216.5925407409668:-0.03793127462267876),(85.87281227111816:190.18707275390625:-0.05923068895936012),(85.01180648803711:171.97274208068848:-0.07966869324445724),(32.252211570739746:180.30083656311035:-0.05598916485905647),(75.55488586425781:167.2992467880249:-0.07943403720855713),(92.5245475769043:189.01283740997314:-0.08984852582216263),(90.83456039428711:202.0204496383667:-0.09962740540504456),(19.270942211151123:195.7777976989746:-0.06834729015827179),(78.29584121704102:186.90997123718262:-0.09669679403305054),(90.89037895202637:210.44470310211182:-0.09792660176753998),(83.47845077514648:222.90600299835205:-0.10251384973526001),(16.656594276428223:218.64486694335938:-0.07975689321756363),(74.7667932510376:210.7225227355957:-0.10450300574302673),(86.30997657775879:230.25781631469727:-0.09744597971439362),(77.68791675567627:239.36163425445557:-0.09511249512434006),(19.982168674468994:244.4340705871582:-0.09307095408439636),(69.73559379577637:236.72690391540527:-0.11082126200199127),(80.89309692382812:248.65459442138672:-0.10872011631727219),(73.03103923797607:255.71977615356445:-0.10794161260128021)
13-06-2022 @ 09:40:25,Right,(383.4446716308594:370.46971321105957:2.813846267102349e-09),(338.67218017578125:352.642765045166:-0.044562265276908875),(306.33399963378906:311.9545841217041:-0.06722947210073471),(287.1875762939453:274.5330333709717:-0.08414061367511749),(272.25135803222656:244.6255588531494:-0.10131727904081345),(356.36608123779297:262.2597026824951:-0.04453635588288307),(347.87174224853516:210.58732509613037:-0.05907292664051056),(343.1817626953125:182.85940647125244:-0.06679058074951172),(341.0807800292969:165.20081520080566:-0.07096825540065765),(386.15272521972656:258.1101322174072:-0.03088567592203617),(378.2579040527344:201.33816719055176:-0.03896364942193031),(373.7372589111328:169.88511085510254:-0.04549883306026459),(370.99327087402344:144.00226593017578:-0.05172665789723396),(410.4690933227539:259.97546195983887:-0.02061031013727188),(405.4475402832031:205.513916015625:-0.023518256843090057),(401.95220947265625:172.96674728393555:-0.026168497279286385),(398.1259536743164:149.4180393218994:-0.03035946935415268),(430.26195526123047:265.61193466186523:-0.01653951220214367),(429.8987579345703:217.70885467529297:-0.017920352518558502),(427.9404067993164:187.14850902557373:-0.019878480583429337),(425.1490783691406:161.97353839874268:-0.023419657722115517)
13-06-2022 @ 09:40:26,Right,(386.88114166259766:388.6421585083008:-5.032059213760931e-10),(348.95679473876953:369.8447799682617:-0.05870012938976288),(318.2247734069824:328.02703857421875:-0.08421815186738968),(294.4498825073242:290.3918266296387:-0.10094847530126572),(275.5010986328125:264.25071716308594:-0.11866576224565506),(366.3657760620117:284.84338760375977:-0.06630811095237732),(354.2566680908203:235.79266548156738:-0.09063514322042465),(347.5775146484375:203.96467208862305:-0.10706712305545807),(342.5155258178711:178.79645347595215:-0.11782441288232803),(394.5542907714844:278.1082820892334:-0.048526789993047714),(390.1127243041992:223.97167682647705:-0.06950272619724274),(386.1000061035156:189.65436458587646:-0.08936069905757904),(382.2940444946289:160.77999114990234:-0.10552135854959488),(417.0866012573242:277.28748321533203:-0.03445223346352577),(419.3833541870117:223.27119827270508:-0.05577387660741806),(419.40418243408203:186.51407718658447:-0.07942423224449158),(418.9169692993164:158.1580352783203:-0.09630022943019867),(434.7853469848633:281.8619728088379:-0.026075931265950203),(436.3328170776367:234.8699426651001:-0.0443463958799839),(434.90489959716797:203.3555030822754:-0.06257176399230957),(433.34461212158203:177.43008613586426:-0.07725727558135986)
13-06-2022 @ 09:40:26,Left,(387.3487854003906:302.1954917907715:1.5204105752175678e-09),(348.75438690185547:301.2202835083008:-0.04389573633670807),(315.3329849243164:280.34571647644043:-0.07018335163593292),(292.4806213378906:259.34200286865234:-0.09071482717990875),(269.2840003967285:243.19948196411133:-0.11315440386533737),(340.4422378540039:227.43221282958984:-0.06968102604150772),(324.9375915527344:185.23305416107178:-0.09802171587944031),(317.904109954834:157.89762496948242:-0.11822256445884705),(313.55762481689453:134.4096851348877:-0.13317060470581055),(363.76861572265625:218.77198219299316:-0.06275849044322968),(354.2485809326172:172.4148416519165:-0.09093766659498215),(351.3151168823242:143.56966495513916:-0.11229152977466583),(351.00372314453125:117.96627044677734:-0.12952710688114166),(385.5561065673828:218.72583389282227:-0.057350900024175644),(383.3152389526367:175.86207389831543:-0.08348534256219864),(382.0640563964844:147.48224258422852:-0.10491781681776047),(382.7325439453125:124.6651554107666:-0.1202695369720459),(405.58685302734375:225.26814937591553:-0.05582508072257042),(411.70066833496094:192.25356101989746:-0.07766823470592499),(414.4574737548828:170.87016105651855:-0.09373413026332855),(417.9372787475586:153.75131607055664:-0.10652002692222595)
13-06-2022 @ 09:40:26,Left,(394.6491241455078:353.54135513305664:-6.821887499341983e-09),(349.83482360839844:332.80935287475586:-0.02669064700603485),(315.3598976135254:296.01582527160645:-0.04210735112428665),(288.92955780029297:265.8061695098877:-0.057528305798769),(264.05906677246094:247.08440780639648:-0.07551795989274979),(341.6798782348633:236.13369941711426:-0.025417909026145935),(327.0823287963867:190.4015350341797:-0.04476314038038254),(319.3803405761719:158.48320484161377:-0.06537411361932755),(314.0047836303711:130.21565437316895:-0.08189817517995834),(365.70728302001953:228.37225914001465:-0.028112901374697685),(354.7230529785156:180.91036319732666:-0.042423833161592484),(349.03533935546875:145.23968696594238:-0.06667020916938782),(343.984375:113.39009284973145:-0.08839349448680878),(389.7096252441406:229.79139804840088:-0.03330865874886513),(385.00091552734375:183.28147888183594:-0.04729338735342026),(383.7665557861328:149.013991355896:-0.07149991393089294),(382.01061248779297:121.28964900970459:-0.09164821356534958),(414.1062545776367:238.62080097198486:-0.042190562933683395),(418.43414306640625:201.88772678375244:-0.05616879463195801),(421.44073486328125:176.23520851135254:-0.0714922770857811),(423.1414031982422:154.88184928894043:-0.08510705083608627)
13-06-2022 @ 09:40:26,Left,(388.9365005493164:327.381649017334:-4.865782887719661e-09),(343.13377380371094:313.4110450744629:-0.027251601219177246),(305.875301361084:282.8603267669678:-0.038515832275152206),(281.40817642211914:256.0081958770752:-0.05082462728023529),(261.3688850402832:239.8906946182251:-0.06427697092294693),(328.0858612060547:217.2281312942505:4.785768032888882e-05),(314.03162002563477:174.8910427093506:-0.01165001280605793),(308.99139404296875:148.20344924926758:-0.0263588335365057),(305.4511260986328:125.58792114257812:-0.038363829255104065),(352.7431869506836:208.85859489440918:-0.0020164961460977793),(342.9743194580078:161.51018142700195:-0.009867651388049126),(338.87081146240234:132.79765605926514:-0.03086215630173683),(336.26705169677734:109.24138069152832:-0.04856408014893532),(377.65350341796875:210.07518768310547:-0.009062274359166622),(373.14647674560547:164.68553066253662:-0.021051527932286263),(370.7494354248047:136.2180233001709:-0.044826533645391464),(368.4873580932617:112.8063440322876:-0.0624769851565361),(403.64288330078125:220.1965856552124:-0.02048485539853573),(407.3472595214844:185.85285186767578:-0.0329647995531559),(408.09215545654297:164.59479331970215:-0.04779861867427826),(408.5477066040039:146.3756561279297:-0.05954216793179512)
13-06-2022 @ 09:40:26,Left,(384.4403839111328:322.56969451904297:-3.1110074516504937e-09),(342.19581604003906:308.2356834411621:-0.02916472591459751),(306.24956130981445:279.5217704772949:-0.04544861242175102),(280.4243850708008:254.78347778320312:-0.062245674431324005),(259.6902275085449:239.07465934753418:-0.08009695261716843),(327.73670196533203:216.91404819488525:-0.014913972467184067),(313.8290023803711:173.98425579071045:-0.03229197859764099),(307.9556655883789:148.01894187927246:-0.04852985590696335),(304.2184066772461:125.96297264099121:-0.061120759695768356),(352.1815490722656:208.83424758911133:-0.017623476684093475),(342.5714874267578:161.40151977539062:-0.03180156648159027),(338.32801818847656:133.62070083618164:-0.05214221403002739),(336.1395263671875:109.50721263885498:-0.06895650923252106),(377.1205139160156:210.66166877746582:-0.024668170139193535),(374.6015930175781:166.62606239318848:-0.040298402309417725),(372.7185821533203:139.12070274353027:-0.06140546873211861),(371.06510162353516:115.7461166381836:-0.0771666094660759),(402.9153823852539:221.22043132781982:-0.03612268716096878),(410.38185119628906:188.4964656829834:-0.050434648990631104),(413.8720703125:167.64264106750488:-0.0636313408613205),(416.44432067871094:149.12924766540527:-0.07406001538038254)
13-06-2022 @ 09:40:26,Right,(364.70237731933594:286.94177627563477:-3.3167435464775963e-09),(329.5517349243164:287.6902484893799:-0.04234948754310608),(300.5719184875488:270.4262638092041:-0.07035044580698013),(280.54162979125977:251.72146797180176:-0.09254240989685059),(260.2731704711914:236.67596340179443:-0.11631070822477341),(322.20279693603516:217.32137203216553:-0.06909118592739105),(306.85956954956055:175.71650505065918:-0.09604958444833755),(297.8444290161133:146.3036298751831:-0.11661918461322784),(292.18441009521484:123.15330505371094:-0.13289040327072144),(346.7200469970703:209.358172416687:-0.06247881054878235),(336.5909957885742:164.16229248046875:-0.08904898911714554),(330.43407440185547:132.5182056427002:-0.11123822629451752),(326.4793014526367:106.19653701782227:-0.1296110600233078),(371.59584045410156:209.89990711212158:-0.056905075907707214),(368.03722381591797:168.5772943496704:-0.08026841282844543),(364.5503616333008:139.18387413024902:-0.10173734277486801),(361.0413360595703:114.4100546836853:-0.11826567351818085),(395.98461151123047:217.90998458862305:-0.05473984032869339),(405.29300689697266:185.21910667419434:-0.07621347904205322),(408.98162841796875:162.30261325836182:-0.09261541813611984),(411.44935607910156:143.1379795074463:-0.10578514635562897)
13-06-2022 @ 09:40:26,Left,(381.85550689697266:317.8996467590332:-2.5807864734161967e-09),(339.9073791503906:306.89449310302734:-0.03199075534939766),(304.80186462402344:281.0024642944336:-0.05037901923060417),(278.5287284851074:257.61277198791504:-0.06905867159366608),(257.87548065185547:240.78206062316895:-0.08865132927894592),(325.1959991455078:216.20896339416504:-0.013793795369565487),(309.2784881591797:174.7226858139038:-0.029827896505594254),(301.8790817260742:148.77254962921143:-0.04614647105336189),(297.5296211242676:126.34526252746582:-0.05930997431278229),(347.7240753173828:207.2898530960083:-0.015088372863829136),(335.68450927734375:160.99481105804443:-0.02700018882751465),(329.90100860595703:132.70142555236816:-0.04774634167551994),(326.3552474975586:108.5033655166626:-0.06536068022251129),(370.3146743774414:208.3069896697998:-0.021114321425557137),(366.1956024169922:164.93245124816895:-0.03487291932106018),(363.38294982910156:136.52990341186523:-0.05778398737311363),(360.4347610473633:112.62349605560303:-0.07535435259342194),(393.44757080078125:218.1735134124756:-0.03166339918971062),(400.36205291748047:185.3030776977539:-0.04480728507041931),(403.50353240966797:165.35691261291504:-0.05881752446293831),(405.2661895751953:148.63848209381104:-0.07033290714025497)
13-06-2022 @ 09:40:26,Left,(378.29833984375:317.4736976623535:-2.436182811038634e-09),(336.0401153564453:308.2625484466553:-0.0340571403503418),(300.58937072753906:284.0027046203613:-0.05243845656514168),(274.7263717651367:260.4499340057373:-0.07027829438447952),(255.03520965576172:243.59006881713867:-0.08865717053413391),(322.0734405517578:218.03505420684814:-0.013844463974237442),(306.9335174560547:175.5897617340088:-0.02746668830513954),(300.6532096862793:149.41743850708008:-0.04164809733629227),(297.1376419067383:127.50884056091309:-0.05326499044895172),(345.9665298461914:209.37076091766357:-0.012607913464307785),(334.95704650878906:162.9700756072998:-0.021971266716718674),(330.230712890625:134.44693565368652:-0.03963663801550865),(328.1524658203125:110.23353338241577:-0.054768502712249756),(369.74803924560547:210.52602767944336:-0.016068918630480766),(365.6972122192383:167.4301242828369:-0.026694588363170624),(363.3427047729492:140.1079559326172:-0.04504283145070076),(361.24061584472656:117.30799198150635:-0.059421785175800323),(393.9356231689453:220.00757217407227:-0.024470685049891472),(400.79578399658203:186.9990348815918:-0.03498370572924614),(404.15382385253906:166.69621467590332:-0.045892369002103806),(406.67346954345703:149.54153537750244:-0.054848577827215195)
