Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
13-06-2022 @ 09:57:26,Left,(339.9282455444336:361.3081169128418:2.523311781743587e-09),(310.6819725036621:348.5314750671387:-0.03270212560892105),(287.92701721191406:327.9590892791748:-0.05189928039908409),(274.60254669189453:308.4480285644531:-0.07034512609243393),(265.9240531921387:290.863094329834:-0.08917869627475739),(303.84517669677734:283.394193649292:-0.018723636865615845),(294.77664947509766:251.78898811340332:-0.03508179634809494),(289.7061538696289:233.07549476623535:-0.04982613027095795),(285.74607849121094:216.9151496887207:-0.060607243329286575),(322.13863372802734:278.63396644592285:-0.016912799328565598),(314.7383689880371:243.76633644104004:-0.030353598296642303),(310.3253173828125:223.53278160095215:-0.04780486226081848),(306.4117431640625:205.45429229736328:-0.0616048164665699),(340.04451751708984:279.920597076416:-0.019591040909290314),(336.89109802246094:247.99192428588867:-0.033102162182331085),(334.27833557128906:228.56609344482422:-0.04993700236082077),(330.9710693359375:211.6199827194214:-0.062290892004966736),(358.0847930908203:286.97035789489746:-0.02651648037135601),(360.95287322998047:261.937952041626:-0.03806157037615776),(362.0243453979492:246.33384704589844:-0.04869228973984718),(361.6353225708008:231.98444366455078:-0.05731379613280296)
13-06-2022 @ 09:57:26,Left,(345.24871826171875:358.6658477783203:-7.805346924349976e-10),(315.1797866821289:348.6386203765869:-0.03480573743581772),(290.8943176269531:327.3727226257324:-0.05152234062552452),(276.0118865966797:306.0934066772461:-0.06661951541900635),(267.4385070800781:288.550500869751:-0.08193977177143097),(306.49221420288086:284.8410129547119:-0.014371364377439022),(295.8298110961914:254.30811882019043:-0.027813050895929337),(290.7945442199707:235.92570304870605:-0.04113839566707611),(287.7716636657715:219.61621284484863:-0.05125802010297775),(324.4502258300781:278.14075469970703:-0.009818131104111671),(316.9321632385254:244.0810775756836:-0.020025545731186867),(312.564697265625:224.1423511505127:-0.03786822035908699),(309.09337997436523:206.45263195037842:-0.052083924412727356),(341.8495559692383:278.0372714996338:-0.010137121193110943),(338.9527130126953:245.84641456604004:-0.02193155139684677),(336.29261016845703:226.26351356506348:-0.04158667102456093),(333.1117630004883:209.10953521728516:-0.05590048059821129),(359.6190643310547:283.8496685028076:-0.014572981745004654),(363.50330352783203:258.4925651550293:-0.025966478511691093),(364.6868133544922:242.35170364379883:-0.03888263553380966),(364.12403106689453:227.41942405700684:-0.049075473099946976)
13-06-2022 @ 09:57:26,Left,(344.9361801147461:356.91927909851074:-1.1508511921221043e-09),(315.6681823730469:347.9233646392822:-0.035061027854681015),(291.70654296875:327.40596771240234:-0.052818283438682556),(276.76937103271484:306.96925163269043:-0.06876534968614578),(268.5224914550781:289.986047744751:-0.08496563136577606),(307.4368667602539:284.5426368713379:-0.018304716795682907),(296.2752914428711:254.45697784423828:-0.03272660821676254),(290.9466361999512:236.0049533843994:-0.046415314078330994),(287.755069732666:219.64219093322754:-0.05685265362262726),(324.99847412109375:277.7212142944336:-0.013824259862303734),(317.4673080444336:243.71020317077637:-0.025125674903392792),(313.0109214782715:223.5177183151245:-0.042875953018665314),(309.5559501647949:205.60406684875488:-0.05711009353399277),(342.1107864379883:277.6974391937256:-0.013960727490484715),(339.2402648925781:245.52125930786133:-0.02658485248684883),(336.61415100097656:225.6075382232666:-0.045937586575746536),(333.5877990722656:208.4658908843994:-0.060048531740903854),(359.462890625:283.6665916442871:-0.018089063465595245),(363.7117385864258:258.3010768890381:-0.030076606199145317),(365.25150299072266:242.02740669250488:-0.04283500835299492),(365.184326171875:227.24209785461426:-0.05288834869861603)
13-06-2022 @ 09:57:26,Left,(356.3640594482422:355.521297454834:-1.552362127732465e-09),(327.4760055541992:345.8287525177002:-0.02944975718855858),(303.9352035522461:325.81286430358887:-0.04580071195960045),(287.7065658569336:307.53313064575195:-0.06175440549850464),(274.1077995300293:292.5244903564453:-0.07826448976993561),(317.26850509643555:281.97678565979004:-0.014584826305508614),(305.4610824584961:252.09586143493652:-0.02923423796892166),(298.78068923950195:233.89801025390625:-0.04331497848033905),(293.780517578125:217.8358268737793:-0.053999558091163635),(334.0486145019531:276.21660232543945:-0.01386661920696497),(325.4661560058594:242.98447608947754:-0.025621026754379272),(319.644718170166:223.3875560760498:-0.04310043528676033),(315.203800201416:205.71304321289062:-0.05714709311723709),(350.92601776123047:276.8349552154541:-0.01739318296313286),(347.03125:245.6773281097412:-0.029621895402669907),(343.326416015625:226.60537719726562:-0.04745805263519287),(339.8101806640625:210.5094051361084:-0.06078329309821129),(368.54312896728516:282.9297065734863:-0.024849319830536842),(371.9210433959961:258.241024017334:-0.03553631156682968),(374.4032287597656:243.36407661437988:-0.04671048745512962),(376.2062454223633:230.34573554992676:-0.055851247161626816)
13-06-2022 @ 09:57:26,Left,(357.0882797241211:356.6210460662842:-1.3370036189286338e-09),(327.5864028930664:347.8768730163574:-0.030857214704155922),(303.7358856201172:327.6830863952637:-0.04816707223653793),(287.5798034667969:308.4755802154541:-0.0645604059100151),(273.3502197265625:292.49281883239746:-0.08148437738418579),(315.38158416748047:283.9585876464844:-0.01801425591111183),(304.19713973999023:253.6585521697998:-0.03304341062903404),(298.1095886230469:235.0984525680542:-0.04673665761947632),(293.7219047546387:218.6758518218994:-0.05712621286511421),(332.98828125:277.0634651184082:-0.016440562903881073),(324.16473388671875:243.20417404174805:-0.028320446610450745),(318.52941513061523:223.51887702941895:-0.04516718536615372),(314.06396865844727:205.70005416870117:-0.058795783668756485),(350.78006744384766:277.1159362792969:-0.0190548337996006),(346.5327453613281:245.34029960632324:-0.03158187121152878),(342.91980743408203:226.12854480743408:-0.04906664043664932),(339.3503189086914:209.8183250427246:-0.06204964593052864),(369.30591583251953:283.038969039917:-0.02547762542963028),(373.2463836669922:257.74789810180664:-0.03678956627845764),(375.26256561279297:242.33033180236816:-0.04807048290967941),(376.0832977294922:228.55506420135498:-0.05711360648274422)
13-06-2022 @ 09:57:27,Left,(350.60394287109375:357.74024963378906:9.986862448130296e-10),(322.4827194213867:350.5176258087158:-0.027200374752283096),(298.14830780029297:334.71954345703125:-0.04319249093532562),(280.3338432312012:319.7446632385254:-0.05848463997244835),(266.23790740966797:306.932315826416:-0.07412640750408173),(309.8084259033203:288.2116413116455:-0.01693849265575409),(296.93172454833984:258.4244155883789:-0.030853858217597008),(289.68114852905273:240.81713676452637:-0.042978718876838684),(283.75648498535156:226.0414695739746:-0.05197855457663536),(326.45130157470703:280.55468559265137:-0.01589907892048359),(315.9815788269043:247.3454475402832:-0.027175523340702057),(308.7461280822754:228.255615234375:-0.041506510227918625),(302.55517959594727:211.67807579040527:-0.05301433056592941),(343.47057342529297:279.0923881530762:-0.018449608236551285),(337.1656036376953:247.3381805419922:-0.030074987560510635),(331.26708984375:228.3072853088379:-0.044406428933143616),(325.2339172363281:212.07919120788574:-0.05495249107480049),(360.69263458251953:283.34890365600586:-0.02459125593304634),(361.1558532714844:258.05877685546875:-0.034833502024412155),(359.71275329589844:242.0156478881836:-0.044096689671278),(357.4361038208008:227.59248733520508:-0.051520925015211105)
13-06-2022 @ 09:57:27,Left,(349.87640380859375:359.3273162841797:-6.290609699810545e-10),(322.87086486816406:351.63817405700684:-0.028326934203505516),(299.34911727905273:334.42700386047363:-0.04469301924109459),(281.94562911987305:319.44271087646484:-0.0602545328438282),(266.6747856140137:308.2748222351074:-0.0763377919793129),(308.95944595336914:288.9436340332031:-0.017718462273478508),(296.6895294189453:259.0697479248047:-0.03231203183531761),(289.5033645629883:241.06372833251953:-0.045202191919088364),(283.912296295166:225.5211067199707:-0.05468979850411415),(325.5577850341797:281.03041648864746:-0.016232000663876534),(315.6850051879883:247.64399528503418:-0.027062799781560898),(308.47341537475586:228.7365961074829:-0.04205013066530228),(302.24021911621094:211.7951774597168:-0.05420653522014618),(342.4538040161133:279.64694023132324:-0.018547754734754562),(335.9393310546875:247.18517303466797:-0.02956220880150795),(330.8907699584961:228.12260627746582:-0.045349471271038055),(325.7170104980469:211.15777015686035:-0.05727563425898552),(360.1748275756836:283.9116954803467:-0.02448083832859993),(360.3656005859375:258.3537483215332:-0.03449415788054466),(359.0392303466797:242.13254928588867:-0.04495030269026756),(356.9337463378906:226.7611598968506:-0.05350387096405029)
13-06-2022 @ 09:57:27,Left,(347.93994903564453:360.391788482666:-2.3007622196313804e-10),(318.72623443603516:353.5804080963135:-0.02414461225271225),(293.6381721496582:336.94759368896484:-0.03887656331062317),(276.3667106628418:320.0347423553467:-0.05324697121977806),(261.81379318237305:307.2641944885254:-0.06830085813999176),(305.5913543701172:291.7755603790283:-0.017237704247236252),(291.6798782348633:261.5032196044922:-0.032182518392801285),(284.901180267334:242.9344081878662:-0.04572245851159096),(280.36706924438477:226.56695365905762:-0.05604948103427887),(322.1087646484375:283.8633155822754:-0.018050968647003174),(310.4728317260742:249.51581954956055:-0.030867641791701317),(303.5072135925293:229.15191650390625:-0.04787308722734451),(297.8981590270996:211.2993335723877:-0.061550214886665344),(338.82579803466797:282.5196361541748:-0.021954160183668137),(331.0774612426758:249.04086112976074:-0.035384051501750946),(325.47863006591797:229.09306526184082:-0.05340742692351341),(319.98945236206055:211.9965648651123:-0.06655976176261902),(356.6489028930664:287.4071216583252:-0.02869134023785591),(356.9664764404297:259.39438819885254:-0.04103100672364235),(355.6492614746094:242.4067783355713:-0.05280360206961632),(353.2017135620117:227.5561809539795:-0.062192704528570175)
13-06-2022 @ 09:57:27,Left,(347.47745513916016:360.30604362487793:-1.2285688022473096e-09),(318.6225700378418:353.54101181030273:-0.025820238515734673),(293.4075355529785:337.61775970458984:-0.04201589524745941),(275.67481994628906:322.1535873413086:-0.05800159275531769),(261.2550735473633:309.7405815124512:-0.07459422200918198),(304.7095489501953:291.32792472839355:-0.01678851619362831),(291.84288024902344:260.9567928314209:-0.032094135880470276),(285.3757858276367:242.51689910888672:-0.04593672230839729),(281.02954864501953:226.27575874328613:-0.0564970001578331),(321.39801025390625:283.45991134643555:-0.017600417137145996),(310.10501861572266:249.09038543701172:-0.030364565551280975),(302.8169059753418:228.89162063598633:-0.047407954931259155),(296.93023681640625:211.1363983154297:-0.061142534017562866),(338.1953811645508:282.3247718811035:-0.021935438737273216),(330.7589340209961:249.2255973815918:-0.03496904671192169),(325.206298828125:229.22335624694824:-0.052572812885046005),(319.6487045288086:211.8313694000244:-0.0656353086233139),(356.0100555419922:287.41167068481445:-0.029498934745788574),(356.14261627197266:259.61920738220215:-0.04169518128037453),(354.8406219482422:242.50164985656738:-0.05329478904604912),(352.4547576904297:227.2470760345459:-0.06259258836507797)
13-06-2022 @ 09:57:28,Left,(346.53995513916016:361.3600158691406:-9.005540202444706e-10),(317.7352523803711:354.20416831970215:-0.026047106832265854),(292.5233459472656:338.4525489807129:-0.04180869087576866),(274.73257064819336:322.8760242462158:-0.05716588720679283),(261.49051666259766:309.9707508087158:-0.07301703095436096),(304.4701957702637:291.94430351257324:-0.016473934054374695),(291.6746139526367:261.6965675354004:-0.031122291460633278),(284.88380432128906:243.09102058410645:-0.04431426525115967),(280.1371765136719:226.38836860656738:-0.05438758805394173),(321.27002716064453:283.8706970214844:-0.016628984361886978),(309.93709564208984:249.61830139160156:-0.028757648542523384),(302.97956466674805:229.20026779174805:-0.04493650048971176),(297.2663116455078:210.80363273620605:-0.05794201418757439),(338.19087982177734:282.60472297668457:-0.020273465663194656),(331.0839080810547:249.6493148803711:-0.03293395787477493),(326.2844467163086:229.89171981811523:-0.04971812665462494),(321.2318420410156:212.46193885803223:-0.06201203912496567),(355.87547302246094:287.7916717529297:-0.027168111875653267),(356.1579132080078:260.5987071990967:-0.039060890674591064),(354.74365234375:244.00829315185547:-0.050178978592157364),(352.0855712890625:229.04946327209473:-0.05890088900923729)
13-06-2022 @ 09:57:28,Left,(346.2882995605469:360.66925048828125:-1.0707470465831648e-09),(317.67547607421875:353.3568477630615:-0.027009136974811554),(292.63267517089844:337.95284271240234:-0.043875470757484436),(274.97997283935547:322.7336597442627:-0.060182616114616394),(261.9586181640625:309.66922760009766:-0.077037513256073),(304.47765350341797:291.39902114868164:-0.019174685701727867),(292.0058822631836:261.168851852417:-0.03493417426943779),(285.0640296936035:242.69920349121094:-0.04884350299835205),(280.0558662414551:226.20028495788574:-0.05934586748480797),(321.1850357055664:283.66796493530273:-0.019204765558242798),(310.26628494262695:249.42380905151367:-0.032430898398160934),(303.1454658508301:229.18072700500488:-0.04916125908493996),(297.2992515563965:210.90548515319824:-0.06253781169652939),(338.0326461791992:282.6852607727051:-0.02269963175058365),(331.14742279052734:249.8990821838379:-0.0361114963889122),(326.21082305908203:230.13347625732422:-0.05329277738928795),(321.12457275390625:212.66655921936035:-0.06589541584253311),(355.76526641845703:288.06421279907227:-0.02947389706969261),(356.1036682128906:261.05289459228516:-0.04192637652158737),(354.8170852661133:244.47206497192383:-0.05339670553803444),(352.36759185791016:229.35564994812012:-0.06242598220705986)
13-06-2022 @ 09:57:28,Left,(342.80200958251953:361.97731018066406:-1.0403956585136598e-09),(314.83375549316406:353.89620780944824:-0.024033281952142715),(289.8211669921875:338.2429504394531:-0.04050309583544731),(272.1578598022461:323.3963871002197:-0.05709299072623253),(258.69157791137695:311.9864273071289:-0.0745374858379364),(301.0914993286133:293.45892906188965:-0.020630383864045143),(288.6981010437012:263.97168159484863:-0.038515038788318634),(282.2904396057129:245.86355209350586:-0.05373276025056839),(277.82026290893555:229.30798530578613:-0.06518811732530594),(317.38258361816406:286.1509609222412:-0.0232987143099308),(305.8950614929199:252.78162002563477:-0.03954406455159187),(299.2685317993164:232.63669967651367:-0.0576774887740612),(294.1599655151367:213.7185287475586:-0.07212696224451065),(334.3236541748047:285.21766662597656:-0.029107866808772087),(327.26001739501953:253.07393074035645:-0.04537855461239815),(322.7321243286133:233.81807327270508:-0.06343447417020798),(318.39223861694336:216.28503799438477:-0.07648259401321411),(352.44213104248047:290.2698040008545:-0.037844475358724594),(353.42174530029297:263.750696182251:-0.05244427174329758),(353.116455078125:247.32064247131348:-0.06469721347093582),(351.7245101928711:231.87164783477783:-0.07427813857793808)
13-06-2022 @ 09:57:28,Left,(340.90221405029297:362.46294021606445:-1.7399045537658253e-09),(313.23734283447266:355.25304794311523:-0.023319533094763756),(288.2729911804199:339.24476623535156:-0.03924782574176788),(270.5561828613281:324.4332504272461:-0.05537060648202896),(257.3133087158203:312.7577304840088:-0.07234155386686325),(299.4677734375:293.6140823364258:-0.01905551366508007),(287.14561462402344:263.9982318878174:-0.035458147525787354),(280.6529998779297:245.85731506347656:-0.04923046752810478),(276.27220153808594:229.78009700775146:-0.05966497212648392),(315.71094512939453:286.0928535461426:-0.021714074537158012),(304.8971176147461:252.0311164855957:-0.03554810211062431),(297.9630470275879:231.83735847473145:-0.05149776116013527),(292.5467872619629:213.66934776306152:-0.06461887061595917),(332.5476837158203:285.54222106933594:-0.02753918059170246),(325.48072814941406:252.55642890930176:-0.041600100696086884),(320.56079864501953:232.56940841674805:-0.057664185762405396),(316.00473403930664:215.0006103515625:-0.06974827498197556),(350.6243896484375:291.24186515808105:-0.03636908531188965),(352.08309173583984:265.0099754333496:-0.04950922355055809),(352.27027893066406:248.07726860046387:-0.06024764105677605),(351.71268463134766:232.48156070709229:-0.06884463131427765)
